Row ID+O6G3A1:R6,Order ID/Invoice no.,Order Date,Membership Plan,Customer ID,Customer Name,Segment,City,State,Region,Product ID,Category,Sales,months,Profit,Membership cancelled
4918,CA-2019-160304,1/1/2019,Standard Class,BM-11575,Brendan Murry,Corporate,Gaithersburg,Maryland,East,FUR-BO-10004709,Furniture,73.94,,28.2668,
4919,CA-2019-160304,2/1/2019,Standard Class,BM-11575,Brendan Murry,Corporate,Gaithersburg,Maryland,East,FUR-BO-10004709,Furniture,173.94,,38.2668,
4920,CA-2019-160304,2/1/2019,Standard Class,BM-11575,Brendan Murry,Corporate,Gaithersburg,Maryland,East,TEC-PH-10000455,Technology,231.98,,67.2742,
3074,CA-2019-125206,3/1/2019,First Class,LR-16915,Lena Radford,Consumer,Los Angeles,California,West,OFF-ST-10003692,Office Supplies,114.46,,28.615,
8604,US-2019-116365,3/1/2019,Standard Class,CA-12310,Christine Abelman,Corporate,San Antonio,Texas,Central,TEC-AC-10002217,Technology,30.08,,-5.264,
8605,US-2019-116365,3/1/2019,Standard Class,CA-12310,Christine Abelman,Corporate,San Antonio,Texas,Central,TEC-AC-10002942,Technology,165.6,,-6.21,
8606,US-2019-116365,3/1/2019,Standard Class,CA-12310,Christine Abelman,Corporate,San Antonio,Texas,Central,TEC-PH-10002890,Technology,180.96,,13.572,
9494,CA-2019-105207,3/1/2019,Standard Class,BO-11350,Bill Overfelt,Corporate,Broken Arrow,Oklahoma,Central,FUR-TA-10000617,Furniture,1592.85,,350.427,
9495,CA-2019-105207,3/1/2019,Standard Class,BO-11350,Bill Overfelt,Corporate,Broken Arrow,Oklahoma,Central,OFF-BI-10004364,Office Supplies,11.88,,5.346,
2898,US-2019-164630,4/1/2019,Standard Class,EB-13975,Erica Bern,Corporate,Charlotte,North Carolina,South,TEC-CO-10000971,Technology,959.968,,119.996,
5868,CA-2019-158211,4/1/2019,Standard Class,BP-11185,Ben Peterman,Corporate,Philadelphia,Pennsylvania,East,OFF-AR-10004078,Office Supplies,4.672,,0.584,
5869,CA-2019-158211,4/1/2019,Standard Class,BP-11185,Ben Peterman,Corporate,Philadelphia,Pennsylvania,East,OFF-BI-10002026,Office Supplies,104.58,,-80.178,
863,CA-2019-134474,5/1/2019,Second Class,AJ-10795,Anthony Johnson,Corporate,Jacksonville,Florida,South,TEC-AC-10001714,Technology,191.472,,40.6878,
864,CA-2019-134474,5/1/2019,Second Class,AJ-10795,Anthony Johnson,Corporate,Jacksonville,Florida,South,OFF-AR-10003958,Office Supplies,5.248,,0.5904,
865,CA-2019-134474,5/1/2019,Second Class,AJ-10795,Anthony Johnson,Corporate,Jacksonville,Florida,South,TEC-PH-10002923,Technology,59.184,,5.1786,
2162,CA-2019-101938,7/1/2019,Standard Class,DW-13480,Dianna Wilson,Home Office,Oakland,California,West,OFF-AR-10003696,Office Supplies,34.58,,10.0282,
8031,CA-2019-158806,7/1/2019,Standard Class,NM-18520,Neoma Murray,Consumer,Amarillo,Texas,Central,FUR-FU-10004270,Furniture,23.076,,-10.9611,
8032,CA-2019-158806,7/1/2019,Standard Class,NM-18520,Neoma Murray,Consumer,Amarillo,Texas,Central,OFF-PA-10004621,Office Supplies,25.92,,9.072,
6851,US-2019-100461,8/1/2019,Standard Class,JO-15145,Jack O'Briant,Corporate,Franklin,Wisconsin,Central,FUR-BO-10002545,Furniture,1565.88,,407.1288,
6852,US-2019-100461,8/1/2019,Standard Class,JO-15145,Jack O'Briant,Corporate,Franklin,Wisconsin,Central,OFF-BI-10001460,Office Supplies,106.05,,49.8435,
7808,US-2019-137295,8/1/2019,Standard Class,VS-21820,Vivek Sundaresam,Consumer,Raleigh,North Carolina,South,OFF-BI-10004236,Office Supplies,30.828,,-24.6624,
